Museum ID,Taxon,Site,Assemblage,d18O
None,Equus_capensis,EFTM,EFTM,0.28
None,Equus_capensis,EFTM,EFTM,-1.46
None,Equus_capensis,EFTM,EFTM,1.64
EFTM__2619,Equus_capensis,EFTM,EFTM,0.66
EFTM_13873a,Equus_capensis,EFTM,EFTM,2.17
EFTM_16660,Equus_capensis,EFTM,EFTM,1.08
EFTM_1952,Equus_capensis,EFTM,EFTM,2.16
EFTM_2112,Equus_capensis,EFTM,EFTM,2.87
EFTM_5065,Equus_capensis,EFTM,EFTM,2.09
EFTM_6727a,Equus_capensis,EFTM,EFTM,1.03
WCRP_2103,Equus_capensis,EFTM,EFTM,1.30
WCRP_6242,Equus_capensis,EFTM,EFTM,1.48
WCRP_9384,Equus_capensis,EFTM,EFTM,1.62
WCRP_1007,Equidae,EFTM,EFTM,1.91
WCRP_12965,Equidae,EFTM,EFTM,1.78
WCRP_13314,Equidae,EFTM,EFTM,1.63
WCRP_17333,Equidae,EFTM,EFTM,2.70
WCRP_2049,Equidae,EFTM,EFTM,2.35
WCRP_2101,Equidae,EFTM,EFTM,2.32
WCRP_2102,Equidae,EFTM,EFTM,1.11
WCRP_2106,Equidae,EFTM,EFTM,2.63
WCRP_2110,Equidae,EFTM,EFTM,0.23
WCRP_2182,Equidae,EFTM,EFTM,3.23
WCRP_29223,Equidae,EFTM,EFTM,2.55
WCRP_36806,Equidae,EFTM,EFTM,1.78
WCRP_3815,Equidae,EFTM,EFTM,1.63
WCRP_5056,Equidae,EFTM,EFTM,2.52
WCRP_9041a,Equidae,EFTM,EFTM,3.02
WCRP_9045,Equidae,EFTM,EFTM,1.47
WCRP_9054,Equidae,EFTM,EFTM,2.51
WCRP_9140,Equidae,EFTM,EFTM,1.66
WCRP_9357a,Equidae,EFTM,EFTM,0.48
